"polProcessID","sourceTypeID","fuelTypeID","PM10PM25Ratio","PM10PM25RatioCV","minModelYearID","maxModelYearID"
10710,53,2,6.6667,0.0,1940,2060
10710,53,3,6.6667,0.0,1940,2060
10710,53,5,6.6667,0.0,1940,2060
10710,53,9,6.6667,0.0,1940,2060
10710,54,1,6.6667,0.0,1940,2060
10710,54,2,6.6667,0.0,1940,2060
10710,54,3,6.6667,0.0,1940,2060
10710,54,5,6.6667,0.0,1940,2060
10710,54,9,6.6667,0.0,1940,2060
10710,61,1,6.6667,0.0,1940,2060
10710,61,2,6.6667,0.0,1940,2060
10710,61,3,6.6667,0.0,1940,2060
10710,61,5,6.6667,0.0,1940,2060
10710,61,9,6.6667,0.0,1940,2060
10710,62,1,6.6667,0.0,1940,2060
10710,62,2,6.6667,0.0,1940,2060
10710,62,3,6.6667,0.0,1940,2060
10710,62,5,6.6667,0.0,1940,2060
10710,62,9,6.6667,0.0,1940,2060
