State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
51,760,Richmond,VA,Virginia,p99,SRVCc
19,29,Cass,IA,Iowa,p70,MROWc
12,13,Calhoun,FL,Florida,p91,SRSOc
8,3,Alamosa,CO,Colorado,p34,RMPAc
4,25,Yavapai,AZ,Arizona,p28,AZNMc
28,133,Sunflower,MS,Mississippi,p87,SRMVc
49,55,Wayne,UT,Utah,p25,NWPPc
53,7,Chelan,WA,Washington,p1,NWPPc
36,123,Yates,NY,New York,p127,NYSTc
54,77,Preston,WV,West Virginia,p116,RFCWc
5,135,Sharp,AR,Arkansas,p85,SRMVc
27,39,Dodge,MN,Minnesota,p43,MROWc
35,11,De Baca,NM,New Mexico,p31,AZNMc
13,313,Whitfield,GA,Georgia,p94,SRSOc
17,21,Christian,IL,Illinois,p83,SRMWc
20,147,Phillips,KS,Kansas,p53,SPNOc
51,17,Bath,VA,Virginia,p99,SRVCc
26,45,Eaton,MI,Michigan,p103,RFCMc
17,89,Kane,IL,Illinois,p80,RFCWc
37,153,Richmond,NC,North Carolina,p98,SRVCc
31,77,Greeley,NE,Nebraska,p40,MROWc
18,95,Madison,IN,Indiana,p105,RFCWc
1,9,Blount,AL,Alabama,p90,SRSOc
13,181,Lincoln,GA,Georgia,p94,SRSOc
51,600,Fairfax,VA,Virginia,p99,SRVCc
27,63,Jackson,MN,Minnesota,p68,MROWc
1,61,Geneva,AL,Alabama,p90,SRSOc
39,69,Henry,OH,Ohio,p112,RFCWc
39,139,Richland,OH,Ohio,p112,RFCWc
48,369,Parmer,TX,Texas,p48,SPSOc
1,125,Tuscaloosa,AL,Alabama,p89,SRSOc
56,41,Uinta,WY,Wyoming,p21,NWPPc
13,187,Lumpkin,GA,Georgia,p94,SRSOc
38,31,Foster,ND,North Dakota,p37,MROWc
48,485,Wichita,TX,Texas,p63,ERCTc
5,57,Hempstead,AR,Arkansas,p85,SRMVc
34,11,Cumberland,NJ,New Jersey,p126,RFCEc
5,43,Drew,AR,Arkansas,p85,SRMVc
5,75,Lawrence,AR,Arkansas,p85,SRMVc
37,149,Polk,NC,North Carolina,p97,SRVCc
47,77,Henderson,TN,Tennessee,p92,SRTVc
27,51,Grant,MN,Minnesota,p43,MROWc
20,65,Graham,KS,Kansas,p52,SPNOc
29,83,Henry,MO,Missouri,p55,SPNOc
48,373,Polk,TX,Texas,p66,SRMVc
51,13,Arlington,VA,Virginia,p99,SRVCc
16,81,Teton,ID,Idaho,p16,NWPPc
17,47,Edwards,IL,Illinois,p83,SRMWc
36,45,Jefferson,NY,New York,p127,NYSTc
13,269,Taylor,GA,Georgia,p94,SRSOc
