Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
Midwest,IA,Burlington (IA),1104,1,Burlington (IA) 1,Des Moines County,1104|1|Midwest,1148500.13,11904710.53,0.024906872,0.00337328,5.10E-05
Midwest,IA,Centerville,1105,1,Centerville 1,Appanoose County,1105|1|Midwest,0,0,0,0,0
Midwest,IA,Centerville,1105,2,Centerville 2,Appanoose County,1105|2|Midwest,0,0,0,0,0
Midwest,IA,Ames,1122,7,Ames 7,Story County,1122|7|Midwest,237974.17,3338954.096,0.008960531,0.005925575,0.003231666
Midwest,IA,Ames,1122,8,Ames 8,Story County,1122|8|Midwest,39253.07,505757.856,0.008412116,0.005638158,0.002844683
Midwest,IA,Streeter Station,1131,7,Streeter Station 7,Black Hawk County,1131|7|Midwest,15030.92,223586.064,0,0,0
Midwest,IA,Muscatine,1167,8,Muscatine 8,Muscatine County,1167|8|Midwest,380878.12,4804569.458,0.010455712,0.006087004,0.000765329
Midwest,IA,Muscatine,1167,9,Muscatine 9,Muscatine County,1167|9|Midwest,877141.4,9725780.722,0.006295748,0.00339071,0.002207644
Midwest,IA,Summit Lake,1206,1G,Summit Lake 1G,Union County,1206|1G|Midwest,4.95,2633.9,0.00683481,0.002173331,0.006733252
Midwest,IA,Summit Lake,1206,2G,Summit Lake 2G,Union County,1206|2G|Midwest,92.41,2648.3,0.006108561,0.001942396,0.006017817
Midwest,IA,Electrifarm,6063,1,Electrifarm 1,Black Hawk County,6063|1|Midwest,2109,33410.5,0.0064113,0.00203996,0.006576566
Midwest,IA,Electrifarm,6063,2,Electrifarm 2,Black Hawk County,6063|2|Midwest,2236,38336.1,0.006421275,0.002043131,0.006490017
Midwest,IA,Electrifarm,6063,3,Electrifarm 3,Black Hawk County,6063|3|Midwest,5731,87019.4,0.007500267,0.002386453,0.00649
Midwest,IA,Ottumwa,6254,1,Ottumwa 1,Wapello County,6254|1|Midwest,4497139.03,46719712.21,0.002380041,4.38E-06,0.000918976
Midwest,IA,Dayton Avenue Substation,6463,GT2,Dayton Avenue Substation GT2,Story County,6463|GT2|Midwest,413.9,4248.9,0.012,0.0085906,0.027503907
Midwest,IA,Louisa,6664,101,Louisa 101,Louisa County,6664|101|Midwest,4676106.67,42884099.83,0.010641814,0.000194002,4.57E-05
Midwest,IA,Grinnell,7137,1,Grinnell 1,Poweshiek County,7137|1|Midwest,0,0,0,0,0
Midwest,IA,Grinnell,7137,2,Grinnell 2,Poweshiek County,7137|2|Midwest,0,0,0,0,0
Midwest,IA,Pleasant Hill Energy Center,7145,1,Pleasant Hill Energy Center 1,Polk County,7145|1|Midwest,2800,41213.4,0.006411491,0.002040016,0.006576566
Midwest,IA,Pleasant Hill Energy Center,7145,2,Pleasant Hill Energy Center 2,Polk County,7145|2|Midwest,3267,50703.6,0.006411491,0.002040018,0.006576566
Midwest,IA,Pleasant Hill Energy Center,7145,3,Pleasant Hill Energy Center 3,Polk County,7145|3|Midwest,6772.33,104227.162,0.006916096,0.002200587,0.006576566
