Region,State,Plant,ORSPL,Unit,Full Name,County,Generation
California,CA,Malburg Generating Station,56041,M1,Malburg Generating Station M1,Los Angeles County,355473.8
California,CA,Malburg Generating Station,56041,M2,Malburg Generating Station M2,Los Angeles County,353426.02
California,CA,Magnolia,56046,1,Magnolia 1,Los Angeles County,1479628.74
New England,CT,CPV Towantic Energy Center,56047,1,CPV Towantic Energy Center 1,New Haven County,0
New England,CT,CPV Towantic Energy Center,56047,2,CPV Towantic Energy Center 2,New Haven County,0
Midwest,WI,Elm Road Generating Station,56068,1,Elm Road Generating Station 1,Milwaukee County,4313292.21
Midwest,WI,Elm Road Generating Station,56068,2,Elm Road Generating Station 2,Milwaukee County,4051838.71
California,CA,Walnut Energy Center,56078,1,Walnut Energy Center 1,Stanislaus County,643600.2
California,CA,Walnut Energy Center,56078,2,Walnut Energy Center 2,Stanislaus County,514656.93
Northwest,UT,Currant Creek Power Project,56102,CTG1A,Currant Creek Power Project CTG1A,Juab County,591442.67
Northwest,UT,Currant Creek Power Project,56102,CTG1B,Currant Creek Power Project CTG1B,Juab County,636446.64
Midwest,MN,Mankato Energy Center,56104,CT-1,Mankato Energy Center CT-1,Blue Earth County,0
Midwest,MN,Mankato Energy Center,56104,CT-2,Mankato Energy Center CT-2,Blue Earth County,727799.24
Midwest,LA,T J Labbe Electric Generating Station,56108,U-1,T J Labbe Electric Generating Station U-1,Lafayette Parish,11160.6
Midwest,LA,T J Labbe Electric Generating Station,56108,U-2,T J Labbe Electric Generating Station U-2,Lafayette Parish,8358.89
California,CA,Ripon Generation Station,56135,1,Ripon Generation Station 1,Stanislaus County,51469.58
California,CA,Ripon Generation Station,56135,2,Ripon Generation Station 2,Stanislaus County,36831.81
California,CA,Riverside Energy Resource Center,56143,1,Riverside Energy Resource Center 1,Riverside County,23238.86
California,CA,Riverside Energy Resource Center,56143,2,Riverside Energy Resource Center 2,Riverside County,22282.65
California,CA,Riverside Energy Resource Center,56143,3,Riverside Energy Resource Center 3,Riverside County,27355.79
California,CA,Riverside Energy Resource Center,56143,4,Riverside Energy Resource Center 4,Riverside County,26665.51
Southeast,GA,McIntosh Combined Cycle Facility,56150,10A,McIntosh Combined Cycle Facility 10A,Effingham County,2249716.35
Southeast,GA,McIntosh Combined Cycle Facility,56150,10B,McIntosh Combined Cycle Facility 10B,Effingham County,2293602.62
Southeast,GA,McIntosh Combined Cycle Facility,56150,11A,McIntosh Combined Cycle Facility 11A,Effingham County,2247797.8
Southeast,GA,McIntosh Combined Cycle Facility,56150,11B,McIntosh Combined Cycle Facility 11B,Effingham County,2225260.01
Central,MO,South Harper Peaking Facility,56151,1,South Harper Peaking Facility 1,Cass County,1661.89
Central,MO,South Harper Peaking Facility,56151,2,South Harper Peaking Facility 2,Cass County,1142.11
Central,MO,South Harper Peaking Facility,56151,3,South Harper Peaking Facility 3,Cass County,820.55
Midwest,MN,Faribault Energy Park,56164,EU006,Faribault Energy Park EU006,Rice County,667939.91
Midwest,WI,Sheboygan Falls Energy Facility,56166,1,Sheboygan Falls Energy Facility 1,Sheboygan County,119033.32
Midwest,WI,Sheboygan Falls Energy Facility,56166,2,Sheboygan Falls Energy Facility 2,Sheboygan County,196577.08
Northwest,UT,Nebo Power Station,56177,U1,Nebo Power Station U1,Utah County,357974.14
New York,NY,Pinelawn Power,56188,00001,Pinelawn Power 00001,Suffolk County,131525.25
New England,CT,"Waterside Power, LLC",56189,4,"Waterside Power, LLC 4",Fairfield County,0
New England,CT,"Waterside Power, LLC",56189,5,"Waterside Power, LLC 5",Fairfield County,0
New England,CT,"Waterside Power, LLC",56189,7,"Waterside Power, LLC 7",Fairfield County,0
New York,NY,Poletti 500 MW CC,56196,CTG7A,Poletti 500 MW CC CTG7A,Queens County,1182228.56
